"feature","kingdom","phylum","class","order","family","genus"
"Actinomyces","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"Parascardovia","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Parascardovia"
"Actinomycetaceae (F)","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae",""
"Corynebacterium","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Rothia","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia"
"Bifidobacterium","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Bifidobacteriales (O)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","",""
"Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroidaceae (F)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",""
"Dysgonomonas","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Dysgonomonas"
"Parabacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides"
"Porphyromonas","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Prevotella","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Rikenellaceae (F)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",""
"S24-7 (F)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",""
"[Barnesiellaceae] (F)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Barnesiellaceae]",""
"Butyricimonas","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Butyricimonas"
"Odoribacter","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Odoribacter"
"Paraprevotella","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","Paraprevotella"
"[Prevotella]","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]"
"Flavobacteriaceae (F)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",""
"YS2 (O)","Bacteria","Cyanobacteria","4C0d-2","YS2","",""
"Streptophyta (O)","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","",""
"Solibacillus","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus"
"Staphylococcus","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"Staphylococcaceae (F)","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae",""
"Gemellaceae (F)","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae",""
"Abiotrophia","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia"
"Granulicatella","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"Enterococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"Enterococcaceae (F)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",""
"Lactobacillus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Pediococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus"
"Lactobacillaceae (F)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",""
"Leuconostoc","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"Lactococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"Streptococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Streptococcaceae (F)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",""
"Lactobacillales (O)","Bacteria","Firmicutes","Bacilli","Lactobacillales","",""
"Turicibacter","Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae","Turicibacter"
"Bacilli (C)","Bacteria","Firmicutes","Bacilli","","",""
"Catabacteriaceae (F)","Bacteria","Firmicutes","Clostridia","Clostridiales","Catabacteriaceae",""
"Christensenellaceae (F)","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",""
"Anaerococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Anaerococcus"
"Clostridium","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"Mogibacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Mogibacterium"
"Peptoniphilus","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Peptoniphilus"
"Sarcina","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Sarcina"
"Clostridiaceae (F)","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",""
"Anaerofustis","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis"
"Eubacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium"
"Anaerostipes","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes"
"Blautia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Coprococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Dorea","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"Lachnobacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnobacterium"
"Lachnospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira"
"Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"[Ruminococcus]","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]"
"Lachnospiraceae (F)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",""
"Peptococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Peptococcus"
"rc4-4","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","rc4-4"
"Peptococcaceae (F)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae",""
"Peptostreptococcaceae (F)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",""
"Anaerotruncus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus"
"Faecalibacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira"
"Ruminococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Ruminococcaceae (F)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",""
"Acidaminococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Acidaminococcus"
"Dialister","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister"
"Megamonas","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Megamonas"
"Megasphaera","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Megasphaera"
"Mitsuokella","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Mitsuokella"
"Negativicoccus","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Negativicoccus"
"Phascolarctobacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Phascolarctobacterium"
"Selenomonas","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Selenomonas"
"Veillonella","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella"
"Veillonellaceae (F)","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae",""
"Clostridiales (O)","Bacteria","Firmicutes","Clostridia","Clostridiales","",""
"Adlercreutzia","Bacteria","Firmicutes","Clostridia","Coriobacteriales","Coriobacteriaceae","Adlercreutzia"
"Atopobium","Bacteria","Firmicutes","Clostridia","Coriobacteriales","Coriobacteriaceae","Atopobium"
"Collinsella","Bacteria","Firmicutes","Clostridia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"Eggerthella","Bacteria","Firmicutes","Clostridia","Coriobacteriales","Coriobacteriaceae","Eggerthella"
"Slackia","Bacteria","Firmicutes","Clostridia","Coriobacteriales","Coriobacteriaceae","Slackia"
"Coriobacteriaceae (F)","Bacteria","Firmicutes","Clostridia","Coriobacteriales","Coriobacteriaceae",""
"Coriobacteriales (O)","Bacteria","Firmicutes","Clostridia","Coriobacteriales","",""
"SHA-98 (O)","Bacteria","Firmicutes","Clostridia","SHA-98","",""
"Clostridia (C)","Bacteria","Firmicutes","Clostridia","","",""
"Bulleidia","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Bulleidia"
"Holdemania","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Holdemania"
"[Eubacterium]","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]"
"cc_115","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","cc_115"
"Erysipelotrichaceae (F)","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae",""
"Catenibacterium","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","[Coprobacillaceae]","Catenibacterium"
"Coprobacillus","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","[Coprobacillaceae]","Coprobacillus"
"[Coprobacillaceae] (F)","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","[Coprobacillaceae]",""
"ML615J-28 (O)","Bacteria","Firmicutes","RF3","ML615J-28","",""
"Fusobacterium","Bacteria","Fusobacteria","Fusobacteria","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"J2-29","Bacteria","Fusobacteria","Fusobacteria","Fusobacteriales","Fusobacteriaceae","J2-29"
"Fusobacteriaceae (F)","Bacteria","Fusobacteria","Fusobacteria","Fusobacteriales","Fusobacteriaceae",""
"Victivallaceae (F)","Bacteria","Lentisphaerae","[Lentisphaeria]","Victivallales","Victivallaceae",""
"[Lentisphaeria] (C)","Bacteria","Lentisphaerae","[Lentisphaeria]","","",""
"RF32 (O)","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","",""
"mitochondria (F)","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",""
"Sutterella","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella"
"Curvibacter","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"Oxalobacter","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter"
"Ralstonia","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Ralstonia"
"Eikenella","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella"
"Neisseriaceae (F)","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae",""
"Betaproteobacteria (C)","Bacteria","Proteobacteria","Betaproteobacteria","","",""
"Bilophila","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"Desulfovibrio","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"Campylobacter","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter"
"Aeromonadaceae (F)","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae",""
"Succinivibrio","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio"
"Aeromonadales (O)","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","",""
"Citrobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter"
"Enterobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter"
"Erwinia","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Erwinia"
"Escherichia","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia"
"Klebsiella","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella"
"Morganella","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Morganella"
"Plesiomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Plesiomonas"
"Proteus","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Proteus"
"Salmonella","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Salmonella"
